Signatur;Titel;Spalte2
 Cod. 11972;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1722;Cod.
 Cod. 11973;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1723;Cod.
 Cod. 11973;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1724;Cod.
 Cod. 11973;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1725;Cod.
 Cod. 11973;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1726;Cod.
 Cod. 11974;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1727;Cod.
 Cod. 11974;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1728;Cod.
 Cod. 11974;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1729;Cod.
 Cod. 11974;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1730;Cod.
 Cod. 11975;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1731;Cod.
 Cod. 11975;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1732;Cod.
 Cod. 11975;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1733;Cod.
 Cod. 11975;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1734;Cod.
 Cod. 11976;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1735;Cod.
 Cod. 11976;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1736;Cod.
 Cod. 11976;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1737;Cod.
 Cod. 11976;Litterae annuae provinciae Bohemiae Societatis Iesu a. 1738;Cod.
 Cod. 11977;Acta congregationum provincialium Societatis Iesu excerpta;Cod.
 Cod. 11977;Acta congregationum provincialium triennalium provinciae Poloniae Societatis Iesu a. 1576-1649;Cod.
 Cod. 11978;Catalogus religiosorum Societatis Iesu in provincia Austriae a. 1633;Cod.
 Cod. 11979;Catalogus eorum, qui theologiae studiis operam dederunt in collegio academico Societatis Iesu Viennae a. 1744-1773;Cod.
 Cod. 11981;Syntagma iuris universi Societatis Iesu;Cod.
 Cod. 11983;Liber tertius ordinatium continens resolutiones casuum difficiliorum, quae ex Urbe mittuntur in provinciam Poloniam Societatis Iesu a. 1575-1729;Cod.
 Cod. 11988;Historia collegii Leopoliensis Societatis Iesu a. 1584-1773;Cod.
 Cod. 11989;Historia missionis Roznialowiensis Societatis Iesu a. 1699-1769;Cod.
 Cod. 11990;Rationes mensurnae collegii Societatis Iesu Hradistii a. 1750-1773;Cod.
 Cod. 11992;Liber accepti collegii Societatis Iesu Hradistii a. 1750-1773;Cod.
 Cod. 11995;Liber II consultationum collegii Societatis Iesu Hradistiensis a. 1766-1773;Cod.
 Cod. 11996;Rationes generales pecuniariae collegii Societatis Iesu Hradistii a. 1750-1773;Cod.
 Cod. 11997;Litterae annuae collegii Pragensis Societatis Iesu ad S. Clementem;Cod.
 Cod. 11998;Informationes et rationes triennales rectorum collegii Societatis Iesu ad S. Ignatium Neo-Pragae a. 1653-1750;Cod.
 Cod. 11999;Historiae provinciae Bohemiae Societatis Iesu liber VI de missionibus Patrum a. 1556-1723 obitis;Cod.
